"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
58315,"NM","ATLANTA, GA",99936,"12/18/09","10164","ROCKBRIDGE COMMERCIAL BANK",294024,291707,"FAILURE","PO","DIF"
4731,"SM","OVERLAND PARK, KS",93393,"12/11/09","10160","SOLUTIONSBANK",511103,421271,"FAILURE","PA","DIF"
22846,"N","MIAMI, FL",84535,"12/11/09","10158","REPUBLIC FEDERAL BANK, N.A.",433011,352695,"FAILURE","PA","DIF"
58399,"N","MESA, AZ",15047,"12/11/09","10159","VALLEY CAPITAL BANK, N.A.",40270,41312,"FAILURE","PA","DIF"
34663,"NM","ATLANTA, GA",316515,"12/04/09","10152","THE BUCKHEAD COMMUNITY BANK",856236,813668,"FAILURE","PA","DIF"
29776,"SB","CLEVELAND, OH",1754561,"12/04/09","10155","AMTRUST BANK",11438990,8558609,"FAILURE","PA","DIF"
32583,"SB","RESTON, VA",31837,"12/04/09","10156","GREATER ATLANTIC BANK",203262,179248,"FAILURE","PA","DIF"
10440,"NM","AURORA, IL",79365,"12/04/09","10154","BENCHMARK BANK",173062,182760,"FAILURE","PA","DIF"
12080,"NM","REIDSVILLE, GA",14705,"12/04/09","10153","THE TATNALL BANK",49612,47100,"FAILURE","PA","DIF"
26290,"N","NORCROSS, GA",34282,"12/04/09","10157","FIRST SECURITY NATIONAL BANK",127455,121645,"FAILURE","PA","DIF"
58016,"NM","FORT MYERS, FL",32236,"11/20/09","10151","COMMERCE BANK OF SOUTHWEST FLORIDA",70997,72821,"FAILURE","PA","DIF"
22427,"SM","NAPLES, FL",721767,"11/13/09","10149","ORION BANK",2612515,2169446,"FAILURE","PA","DIF"
57914,"N","SAN CLEMENTE, CA",33470,"11/13/09","10150","PACIFIC COAST NATIONAL BANK",131418,128867,"FAILURE","PA","DIF"
32267,"SB","SARASOTA, FL",307406,"11/13/09","10148","CENTURY BANK, A FEDERAL SAVINGS BANK",755923,659742,"FAILURE","PA","DIF"
30329,"SB","DETROIT, MI",8468,"11/06/09","10144","HOME FEDERAL SAVINGS BANK",12994,12730,"FAILURE","PA","DIF"
32469,"NM","SAN FRANCISCO, CA",632501,"11/06/09","10147","UNITED COMMERCIAL BANK",10895336,7653666,"FAILURE","PA","DIF"
19450,"NM","ST LOUIS, MO",11648,"11/06/09","10146","GATEWAY BANK OF ST LOUIS",26882,27534,"FAILURE","PA","DIF"
22286,"NM","SPARTA, GA",62318,"11/06/09","10145","UNITED SECURITY BANK",153639,149616,"FAILURE","PA","DIF"
35074,"NM","OAKDALE, MN",34308,"11/06/09","10143","PROSPERAN BANK",197442,182794,"FAILURE","PA","DIF"
25222,"N","TEAGUE, TX",6982,"10/30/09","10141","CITIZENS NATIONAL BANK",118236,97590,"FAILURE","PA","DIF"
